209
8
E,9.6,10,9.9,9.5,10,10,10,0.5
E,10,9.9,9.9,10,10,10,10,0
G,9,8.4,9.75,9.8,7,10,10,0.125
G,8,8,9.75,9,9,9.25,8,0.375
S,0,5.5,10,9.25,8.75,10,10,0
G,7.8,8,9.5,9.8,10,8,10,0.125
G,10,10,10,10,10,10,10,0.125
E,10,10,10,10,10,9.9,10,0.5
G,8,9.5,10,9.25,9.5,10,10,0.375
E,10,8.75,10,10,9,10,10,0
G,9.5,8,8.5,9.25,8.5,9.9,10,0
S,9,9.5,10,10,1,0,8,0
G,10,9.8,9,9.8,10,6.8,10,0
G,9,9.5,9.25,10,10,10,10,0
E,10,9.8,8.4,10,9,9,10,0
G,10,10,9,10,9.75,9,8.5,0
G,10,9,9.5,9.9,9.75,10,9.25,0
E,9.6,10,9.9,10,10,10,10,0.5
G,10,9.75,9.75,10,9.5,8.75,8.75,0
G,9.2,9.8,9.75,9.9,9,9.7,10,0.125
G,8.5,9.75,9,10,9.75,10,9,0
G,8,5.9,6,0,10,6,8,0
E,9.6,10,9.8,10,10,10,10,0.125
G,9,8,6,9.75,10,8.25,0,0.375
E,10,9.5,10,10,10,10,10,0.5
S,8.8,9.5,9.5,9.9,8.5,10,8,0
E,10,9.8,9.9,10,10,10,10,0.5
E,9,9.5,9.5,10,10,10,10,0.375
E,9,10,9.75,9.9,10,10,9.9,0.125
G,10,9.4,9,10,10,10,10,0
E,10,10,10,10,10,10,10,0.125
G,10,7,9,9.5,9.5,10,10,0.125
G,8,9.75,8,9.5,9.5,9.5,9.5,0
G,8.5,7,9.75,10,9.5,10,10,0
G,9.5,9.7,9.25,9.6,9.5,10,9.5,0
G,10,7.5,8.3,9.5,10,10,10,0.25
G,10,9,8.3,9.75,9.75,10,9.5,0
F,8.5,5.4,9,9.5,9,6,7.5,0
S,6.5,4,5.1,7,0,6,6.5,0
E,10,10,10,10,10,10,9.9,0.5
E,10,9.5,10,10,10,10,10,0.5
E,10,9.9,9.5,8.75,9.4,9.9,8,0
E,8,9.5,10,10,10,10,9.5,0.125
G,10,8.7,9.5,9,8.9,10,10,0
G,6.5,9.2,5.85,9.5,8.9,10,9.5,0.125
E,8,10,9.75,8.75,9.5,10,10,0
G,7.5,9.7,10,9.75,10,10,10,0
G,10,9.7,9.5,10,9.9,9.5,9.25,0
G,10,9.9,9.7,10,9.4,10,9.9,0
E,10,8.5,9.25,9.25,10,10,10,0.25
S,7.5,8.5,10,10,10,10,10,0
E,9,10,9.5,9.9,10,10,10,0.5
S,5.5,5.7,5.25,0,9.8,6,6.5,0
E,10,9.5,10,9.9,10,10,10,0.5
G,7,5.1,8,9,7.5,10,10,0.125
S,7.5,9,9,0,7.5,9.5,9,0.125
S,6,5,8.75,5,6,9,8,0
E,10,8.5,10,10,9,8,10,0.375
G,8,9,10,10,10,10,10,0
E,10,10,10,9,10,10,10,0.5
G,10,8.5,10,8.5,10,9.9,8,0
G,10,10,9.5,9.9,10,10,10,0
S,8,6,9,9,7,10,8.5,0.25
E,7,9,8.7,10,10,10,10,0.125
G,6,5,8.7,10,9,10,10,0
