nota_finala,R1,P1,P2,P3,L1,L2,L3,Punctaj_seminar,Nr_prezente_seminar,Nota_FP
7,9,6.5,8.5,9.5,9.25,6,0,0.125,6,4
7,9.5,9.75,9.7,9.9,9.5,8,10,0,7,5
5,9,9.5,10,10,1,0,8,0,6,7
8,9,8,6,9.75,10,8.25,0,0.375,7,7
6,10,5,5.9,9.5,9,8,8.25,0,7,7
7,8.5,9.75,9,10,9.75,10,9,0,7,8
7,8,5.9,6,0,10,6,8,0,6,8
7,10,8,9.25,10,9,10,10,0,7,8
6,10,5.5,9,10,6.5,6,10,0,6,8
7,10,5.5,2,0,8,10,5,0,7,8
4,10,2,0,6.5,5.2,6,8.5,0,6,8
8,10,10,6.5,10,9.9,9.9,10,0,7,8
8,10,10,9,10,9.9,9.75,10,0,7,8
6,10,9.75,9.5,10,9,5,9.75,0,7,8
8,10,9.8,9,9.8,10,6.8,10,0,7,9
4,5,0,4.5,0,5,9,8,0,6,4
8,10,8.5,9.5,10,9,9.75,10,0,7,4
7,7,5.1,8,9,7.5,10,10,0.125,5,5
9,8.5,9,10,6,6,10,0,0,7,5
5,6.5,4,5.1,7,0,6,6.5,0,7,6
10,7,9,8.7,10,10,10,10,0.125,7,6
4,5,0,6,0,0,4,0,0,6,6
5,10,2,6,10,4.4,9.9,1,0,6,6
9,9.8,9.25,9.75,9.9,9,10,10,0,7,6
4,8.5,5.4,9,9.5,9,6,7.5,0,7,7
6,7.5,9,9,0,7.5,9.5,9,0.125,7,7
9,10,10,10,9,10,10,10,0.5,7,7
6,8,6,9,9,7,10,8.5,0.25,7,7
4,0,0,4.2,6.5,6,6,0,0.125,7,7
7,10,9,10,8,9.25,9.9,10,0,7,7
8,10,5.5,5,10,9.25,9.5,8.25,0.125,6,7
6,10,7.25,6,10,0,0,0,0,7,7
10,10,9.9,9,10,10,10,10,0,7,7
8,6.5,9.2,5.85,9.5,8.9,10,9.5,0.125,5,8
8,9.8,9.25,9.5,10,9.5,10,10,0.125,7,8
8,10,9.25,9.5,6,9.75,9.75,10,0.25,5,8
7,10,8,10,1,9.5,10,10,0.25,7,8
6,10,6.3,6,9.5,10,10,10,0.125,6,9
8,10,10,9.8,10,10,10,9.8,0.5,7,9
10,10,9.7,10,10,10,10,10,0.375,7,10
10,9.5,10,10,10,9.75,10,9.9,0.375,7,10
6,10,9.8,9,7.5,7,9,6,0.125,7,6
5,10,5,5.75,0,8,10,0,0.125,7,6
7,8,9.75,9.8,10,10,10,10,0.5,7,6
8,6.5,5.75,9.25,10,7,9,9,0,7,6
10,10,8.75,10,10,9,10,10,0,6,7
7,10,9,9.5,9.9,9.75,10,9.25,0,7,7
7,8,9.75,8,9.5,9.5,9.5,9.5,0,7,7
9,10,9.9,9.5,8.75,9.4,9.9,8,0,7,7
5,6,5,8.75,5,6,9,8,0,6,7
7,9.75,9.25,9.9,9.7,10,10,10,0,7,7
9,10,9.8,9.25,10,10,9.5,10,0,7,7
7,10,9.8,8.75,9.25,9.25,10,10,0,7,7
7,9.5,8,8.5,9.25,8.5,9.9,10,0,7,8
9,9.6,10,9.9,10,10,10,10,0.5,7,8
7,8.5,7,9.75,10,9.5,10,10,0,7,8
6,7.5,8.5,10,10,10,10,10,0,7,8
8,6,5,8.7,10,9,10,10,0,7,8
7,10,0,6.8,0,7.8,10,10,0,7,8
7,8.5,9.25,10,9.75,5.5,9.5,9,0,7,8
8,7,6,8.5,9.8,10,10,10,0,6,8
10,10,9.8,9.5,10,9.5,10,10,0,7,8
8,10,9.5,10,9.9,10,10,10,0.125,7,8
7,8,9,9.8,0,10,10,10,0,7,8
9,10,7,9,9,9.8,10,10,0.5,7,8
6,10,5.7,9,6.5,9,9.9,9.5,0.25,7,8
7,10,9.5,9.25,10,9.8,10,10,0,7,8
8,10,9.25,9.5,10,9.9,10,10,0.25,5,8
8,10,9.8,9.8,9.7,10,10,9.5,0,7,8
10,9.75,10,10,10,10,10,10,0.5,7,8
8,9,9.5,9.25,10,10,10,10,0,7,9
9,8,9.5,10,10,10,10,9.5,0.125,6,9
9,8,10,9.75,8.75,9.5,10,10,0,6,9
8,10,8.5,10,8.5,10,9.9,8,0,5,9
8,10,8.8,9.9,10,10,9,10,0,7,9
8,10,10,10,10,10,10,10,0,7,9
6,9.5,5.5,9,8,8.5,7.5,7.5,0,6,9
7,10,10,9.9,9.75,10,9.9,10,0,7,9
7,10,6,10,10,9.9,10,8,0,6,9
8,10,6.7,10,10,8.5,9.8,10,0.125,6,9
6,10,7.2,10,0,6,9.9,10,0,7,9
7,10,9.9,9.7,10,9.4,10,9.9,0,7,10
8,10,10,10,10,10,10,10,0,7,10
9,10,10,10,10,10,10,10,0.5,7,10
10,10,9.5,9.8,10,9,10,10,0.25,7,6
7,10,9.9,10,10,9.9,10,9.9,0.125,7,7
7,9.2,9.8,9.75,9.9,9,9.7,10,0.125,7,8
10,10,10,10,10,10,10,10,0.125,7,8
8,9.5,9.7,9.25,9.6,9.5,10,9.5,0,7,8
7,7.5,9.7,10,9.75,10,10,10,0,6,8
9,10,8.5,10,10,9,8,10,0.375,7,8
8,10,9.75,10,10,10,10,10,0,7,8
10,10,8.5,10,10,9.9,10,10,0.25,7,8
9,10,10,9.5,10,9.25,10,9,0,7,8
