nota_finala,R1,P1,P2,P3,L1,L2,L3,practic_prolog,practic_lisp,Punctaj_seminar,Nr_prezente_seminar
7,9,9,10,10,0,10,10,6.6,7.4,5,5
4,8,6,6,0,6,0,0,10,0,2.5,5
5,6,6,0,0,10,10,0,5.5,6.25,7.5,7
7,9.2,6,10,7.75,7.5,10,10,6,5.2,5,7
7,6,8,0,0,9.5,10,10,4.5,5.25,6.5,7
7,10,10,10,0,6,0,0,9.9,1,5,6
6,10,5.5,8,0,6,10,10,8,6.5,5,5
4,0,0,0,0,0,0,0,1,8,2.5,7
8,6,10,10,10,10,10,10,8.25,5.5,2.5,7
7,10,8.4,9,10,10,10,10,9.25,9.5,8,6
9,10,9.2,6,8,10,10,10,8.25,10,7.5,6
4,0,0,0,0,0,0,0,5.75,0,5,5
7,8.5,10,10,0,8,10,10,6.5,10,5,5
5,9,10,0,0,0,0,10,5.4,4.8,2.5,6
4,6,6,0,0,0,0,0,7.75,5.75,2.5,5
9,10,9.6,10,9.5,10,10,10,10,10,12.5,7
6,9,10,10,0,10,0,0,9.9,9.5,6.5,6
6,9.5,10,10,10,10,10,10,6.25,8.5,1,6
5,10,10,9,0,8.5,0,8,6.5,6,2.5,6
8,7,6,10,7,10,10,10,10,10,2.5,6
7,10,6,0,8.5,2,0,9.5,9,10,2.5,7
5,9.5,6,0,10,9.4,10,9,7.9,9,2.5,5
5,6,0,0,0,0,0,0,5,10,5,6
9,10,6,8,10,10,10,10,10,10,10,7
4,5.5,8,9,0,7,10,9.75,5,6.5,5,7
8,10,10,10,10,10,10,10,9.25,9.9,8,7
8,9.5,10,10,10,9.9,10,10,9.9,7.55,7.5,7
6,10,6,0,0,6,0,10,9.75,5.5,5,6
6,9.5,8,10,0,7.5,10,10,10,8.75,5,7
8,9.5,7,0,10,10,10,10,7,10,5,7
4,6,10,9.5,0,5.2,0,0,4.6,5.2,2.5,5
6,9.5,7,10,0,8,9.5,10,6.7,4.5,2.5,6
7,9.2,9.2,8.4,0,10,9.5,9,6,10,2.5,5
4,10,0,10,0,0,10,10,8.5,10,5,5
8,7,10,9.5,10,10,10,10,6.5,10,5,7
7,10,10,0,0,9.5,0,10,5.7,9.5,5,6
7,8.5,10,10,10,8,10,10,9.4,7.9,6.5,7
8,9,2.4,10,10,0,10,10,9.9,10,2.5,7
4,9,9.2,10,10,2.6,10,10,9.5,6.5,5,5
5,10,8,0,0,0,0,0,4.5,4,5,5
9,9.2,8.4,10,10,10,10,10,10,10,2.5,7
6,6,8,10,0,9.5,10,10,4.4,5.75,5,5
8,9,10,10,10,10,10,10,9.9,6.8,6.5,7
7,10,6,8,10,10,10,10,10,10,5,7
7,8.5,9,10,0,10,10,10,8.5,9.5,5,6
6,9,10,10,0,7.5,10,10,5,4.6,5,6
6,0,0,0,0,0,0,0,6.75,10,2.5,6
8,8,10,10,10,10,10,8,8.75,9.8,2.5,7
6,9,10,10,10,10,10,10,9.9,5.45,6.5,7
8,10,10,6,0,6,8,0,7.25,8.75,6.5,6
8,10,10,10,10,10,10,10,6.5,9.75,8,7
7,8,8,10,7,10,0,10,5.5,10,6.5,7
6,7,10,10,7,7.5,10,10,6.25,4.1,5,7
6,7,8,0,0,0,0,10,5.1,7,5,5
9,9,10,8,8,10,0,10,10,5.5,6.5,7
7,10,6.8,6,0,10,10,10,9.9,10,5,5
7,8,7.5,8,0,6,0,10,7.25,9,5,5
6,10,9.5,10,10,10,10,10,4.75,7.5,8,7
9,9.5,10,10,10,10,10,10,10,10,6.5,7
5,10,10,8,8,6,0,0,6.5,0,7.5,6
7,9.5,9.2,10,10,10,9,10,10,6.5,7.5,6
