nota_finala,Nota_SDA
7,4
4,4
5,4
7,4
7,4
7,4
6,4
4,4
8,4
7,4
9,4
4,4
7,4
5,4
4,4
9,4
6,4
6,4
5,4
8,4
7,4
5,5
5,5
9,5
4,5
8,5
8,5
6,5
6,5
8,5
4,5
6,5
7,5
4,5
8,5
7,5
7,5
8,5
4,5
5,6
9,6
6,6
8,6
7,6
7,6
6,6
6,6
8,6
6,6
8,6
8,6
7,6
6,6
6,6
9,6
7,6
7,6
6,6
9,6
5,6
7,6
7,6
4,6
7,6
5,6
6,6
4,6
7,6
7,6
7,6
7,6
8,6
8,6
9,6
6,6
6,6
7,6
10,6
8,6
8,6
6,6
8,6
6,6
8,6
9,6
5,6
5,6
7,6
6,6
8,6
8,6
6,6
9,6
9,6
8,6
10,6
7,6
6,6
8,6
6,6
7,6
6,6
8,6
8,6
8,6
7,6
9,7
8,7
9,7
6,7
6,7
10,7
10,7
7,7
6,7
6,7
8,7
8,7
7,7
8,7
9,7
7,7
8,7
8,7
6,7
5,7
6,7
7,7
8,7
7,7
6,7
7,7
7,7
9,7
8,7
9,7
10,7
6,7
10,7
9,7
7,7
9,7
9,7
9,7
9,7
10,7
9,7
8,7
9,7
10,7
6,7
7,7
6,7
7,7
7,7
8,7
9,7
7,7
5,7
10,7
9,7
8,7
7,7
8,7
8,7
6,7
10,7
9,7
8,7
6,7
8,7
9,7
8,7
7,7
6,7
8,7
10,7
9,7
8,8
8,8
9,8
9,8
8,8
8,8
6,8
10,8
9,8
6,8
8,8
8,8
9,8
10,8
8,8
8,8
10,8
10,8
10,8
10,8
8,8
9,8
7,8
9,8
10,8
9,8
9,8
8,8
9,8
10,8
10,8
9,8
7,8
8,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
10,8
7,8
7,8
6,8
10,8
8,8
8,8
7,8
10,8
10,8
10,8
10,8
8,8
10,8
10,8
7,8
8,8
9,8
8,8
9,8
9,8
9,8
10,8
10,8
10,8
10,8
10,8
10,8
9,8
10,8
8,8
7,8
10,8
9,8
6,8
9,8
6,8
8,9
9,9
10,9
9,9
10,9
10,9
10,9
9,9
10,9
8,9
10,9
9,9
9,9
10,9
10,9
10,9
8,9
10,9
10,9
9,9
10,9
10,9
10,9
10,9
10,9
10,9
9,9
10,9
10,9
8,9
8,9
9,9
8,9
8,9
8,9
9,9
10,9
10,9
10,9
10,9
10,9
8,9
10,9
10,9
10,9
9,9
10,9
10,9
10,9
10,9
9,9
10,9
10,9
9,9
8,9
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
9,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,10
9,10
10,10
10,10
8,10
10,10
